slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at
c-1910,厚生労働省(試験事務:医療研修推進財団),https://www.mhlw.go.jp/kouseiroudoushou/shikaku_shiken/gengochoukakushi/,"38,400円",筆記・マークシート(選択式)・全200問,指定の言語聴覚士養成校で3年以上修得した者 等,年1回(2月),66.4%(第28回・2026年),2026-06-18
c-2102,公益財団法人 東洋療法研修試験財団(厚生労働大臣指定試験機関),https://ahaki.or.jp/exam/outline/,"14,400円",筆記・マークシート・170点満点(概ね60%で合格)。医療概論・解剖学・生理学・東洋医学概論・経絡経穴概論・はり理論 等,養成施設(大学・専門学校等)で3年以上所定課程を修得した者,年1回(2月下旬),67.2%(第34回・2026年),2026-06-18
c-2101,公益財団法人 東洋療法研修試験財団(厚生労働大臣指定試験機関),https://ahaki.or.jp/exam/outline/,"11,600円",筆記・マークシート・160点満点(60%で合格)。医療概論・解剖学・生理学・東洋医学概論・あん摩マッサージ指圧理論 等,養成施設(大学・専門学校等)で3年以上所定課程を修得した者,年1回(2月下旬),85.0%(第34回・2026年),2026-06-18
c-2104,公益財団法人 柔道整復研修試験財団(厚生労働大臣指定試験機関),https://www.zaijusei.com/state.html,,筆記・マークシート。必修50問＋一般200問=計250問。必修80%かつ一般60%で合格,柔道整復師養成施設で3年以上修了した者,年1回(3月上旬),71.5%(第34回・2026年),2026-06-18
c-6709,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai232/,"学科8,800円(非課税)/実技14,000円(非課税)",学科＋実技。学科は各科目40%以上かつ合計60%以上で合格。実技は減点合計40点以下で合格(登録教習機関の実技教習修了で実技免除),学科は誰でも受験可(免許交付には実技合格等の要件あり),全国の安全衛生技術センターで定期実施,,2026-06-18
c-7204,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai611/,"8,800円(非課税)",学科のみ・4科目・五肢択一・4時間。各科目40%以上かつ合計60%以上で合格,受験資格なし(誰でも受験可),全国の安全衛生技術センターで定期実施,,2026-06-18
c-1406,一般財団法人 全国建設研修センター(国土交通大臣指定試験機関),https://www.jctc.jp/exam/zouen-1/,"14,400円(第一次・第二次 各14,400円)",第一次検定(学科)＋第二次検定(実地),第一次は19歳以上で学歴・実務経験不問。第二次は第一次合格後に所定の実務経験が必要,年1回,第一次45.4%/第二次50.6%(令和6年度),2026-06-18
c-2310,東京商工会議所,https://kentei.tokyo-cci.or.jp/fukushi/exam-info/,"7,700円(税込・2級。CBT方式は別途利用料2,200円)",IBT/CBT・多肢選択式・90分・100点満点70点以上で合格(代表:2級),受験資格なし(誰でも受験可),年2回(7月・11月),45.5%(第53回・2024年11月),2026-06-18
c-3112,国家資格(登録試験機関:キャリアコンサルティング協議会/日本キャリア開発協会(JCDA)),https://www.career-shiken.org/,"38,800円(学科8,900円＋実技29,900円)",学科(マークシート・四肢択一)＋実技(論述＋面接)。学科は2機関共通問題,厚労大臣認定講習修了、または相談実務経験3年以上 等,年3回程度,学科約77.6%/実技63.0〜68.2%(第30回・2025年12月),2026-06-18
c-5208,一般財団法人 消防試験研究センター,https://www.shoubo-shiken.or.jp/kikenbutsu/,"4,200円",四肢択一マークシート(3科目25問・75分・各科目60%で合格),受験資格なし(誰でも受験可),都道府県支部ごとに年複数回,,2026-06-18
c-1609,各都道府県(知事)。例:東京都(保健医療局)/大阪は関西広域連合,https://www.hokeniryo.metro.tokyo.lg.jp/anzen/iyaku/sonota/d_g/shiken,"都道府県により異なる(例:東京都12,900円)",筆記(択一)＋実地。一般・農業用品目・特定品目の3区分,学歴・年齢・性別不問(責任者就任には欠格事由あり),年1回(各実施主体),,2026-06-18
c-1308,公益社団法人 インテリア産業協会,https://www.interior.or.jp/examination/ic/overview/,"14,850円(一次+二次)/11,550円(一次のみ)",一次CBT＋二次(プレゼンテーション・論文),受験資格なし(誰でも受験可),年1回(一次9〜10月・二次12月),24.9%(第42回・2024年度),2026-06-18
c-6708,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai206/,"学科8,800円/実技14,000円",学科＋実技。学科は各科目40%以上かつ合計60%以上で合格。実技は減点合計40点以下で合格(登録教習機関の実技教習修了で実技免除),学科は誰でも受験可(免許交付・実技に要件あり),全国の安全衛生技術センターで定期実施,59.1%(令和6年度・学科),2026-06-18
c-6719,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai250/,"学科8,800円/実技14,000円",学科＋実技。学科は各科目40%以上かつ合計60%以上で合格。実技は減点合計40点以下で合格(登録教習機関の実技教習修了で実技免除),学科は誰でも受験可(免許交付・実技に要件あり),全国の安全衛生技術センターで定期実施,68.2%(令和6年度・学科),2026-06-18
c-1305,一般社団法人 日本建設機械施工協会(国土交通大臣指定試験機関),https://www.jcmanet.or.jp/shiken/,,第一次検定(学科)＋第二次検定(筆記＋実技。6種別から選択して操作),第一次は受検年度末で満17歳以上。第二次は第一次合格後に所定の実務経験が必要,年1回,,2026-06-18
c-1304,公益財団法人 建築技術教育普及センター,https://www.jaeic.or.jp/shiken/bmee/index.html,"36,300円",第一次試験(学科:建築一般知識・建築法規・建築設備)＋第二次試験(設計製図),学歴＋実務経験、一級建築士等は実務2年以上、建築設備の実務のみは9年以上 等,年1回,26.1%(令和6年度・総合),2026-06-18
c-1317,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須＋選択)＋口頭試験,技術士第一次試験合格(またはJABEE課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-7129,高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/qualification_application/,"22,700円(電子申請)/23,200円(書面申請)",筆記(択一)＋技能試験(ねじ切り等の実技),受験資格なし(誰でも受験可),年1回(筆記11月・技能12月上旬),約35%(令和6年度),2026-06-18
c-4104,高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/qualification_application/,"7,400円(電子申請)/7,900円(書面申請)",筆記。法令・保安管理技術の2科目。科目免除制度あり,受験資格なし(誰でも受験可),年1回(11月中旬),31.7%(令和6年度・第一種販売),2026-06-18
c-5006,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"16,500円",4科目(無線工学の基礎/無線工学A/無線工学B/法規)・マークシート。科目合格制度あり(3年間免除),受験資格なし(誰でも受験可),年2回(1月・7月),,2026-06-18
c-5007,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"13,700円",4科目(無線工学の基礎/無線工学A/無線工学B/法規)・マークシート。科目合格制度あり(3年間免除),受験資格なし(誰でも受験可),年2回(1月・7月),,2026-06-18
c-2813,公益財団法人 日本国際教育支援協会(JEES),https://www.jees.or.jp/jltct/,"17,000円",試験I・II・IIIの3部構成。マークシート＋記述式,受験資格なし(誰でも受験可),年1回(10月),30.9%(令和6年度),2026-06-18
c-1005,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1006,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1007,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1231,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1232,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1233,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1234,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1235,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1236,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1410,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1506,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1618,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1619,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1620,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1621,文部科学省所管(指定試験機関:公益社団法人 日本技術士会),https://www.engineer.or.jp/,"20,500円(1技術部門・令和8年改定後)",技術士第二次試験。筆記(必須科目＋選択科目)＋口頭試験,技術士第一次試験合格(またはJABEE認定課程修了)＋技術士補登録後の実務4年超 等,年1回(筆記7月・口頭12〜翌1月),,2026-06-18
c-1624,地方共同法人 日本下水道事業団(JS),https://www.jswa.go.jp/kentei/shikengaiyo.html,"12,300円(税込・別途システム利用料528円)",択一式＋記述式,受験資格なし(誰でも受験可),年1回(11月・全国10都市),22.5%(令和6年度/第50回),2026-06-18
c-1625,地方共同法人 日本下水道事業団(JS),https://www.jswa.go.jp/kentei/shikengaiyo.html,"9,200円(税込・別途システム利用料528円)",択一式のみ,受験資格なし(誰でも受験可),年1回(11月・全国10都市),30.5%(令和6年度/第50回),2026-06-18
c-1626,地方共同法人 日本下水道事業団(JS),https://www.jswa.go.jp/kentei/shikengaiyo.html,"9,200円(税込・別途システム利用料528円)",択一式のみ,受験資格なし(誰でも受験可),年1回(11月・全国10都市),33.8%(令和6年度/第50回),2026-06-18
c-1613,地方共同法人 日本下水道事業団(JS),https://www.jswa.go.jp/kentei/shikengaiyo.html,"9,200円(税込・別途システム利用料528円)",択一式のみ(多肢選択式),受験資格なし(誰でも受験可),年1回(11月・全国10都市),43.4%(令和6年度/第38回),2026-06-18
c-7130,公益財団法人 日本環境整備教育センター,https://www.jeces.or.jp/pages/31/,"31,700円",国家試験(学科＋実地・各6割以上で合格),一定の学歴＋実務経験、または1級・2級管工事施工管理技術検定合格者 等,年1回(7月),31.3%(令和7年度),2026-06-18
c-7405,公益財団法人 日本環境整備教育センター,https://www.jeces.or.jp/pages/154/,"23,600円",国家試験(マークシート択一・7科目),受験資格なし(誰でも受験可),年1回(10月),22.8%(令和7年度),2026-06-18
c-7406,公益財団法人 日本環境整備教育センター,https://www.jeces.or.jp/pages/412/,"56,400円",講習修了型(認定講習・最終日に修了考査),浄化槽管理士の資格を有すること,,,2026-06-18
c-7407,公益財団法人 日本環境整備教育センター,https://www.jeces.or.jp/pages/35/,,講習修了型(認定講習・修了試験),過去2年以上の浄化槽清掃業務の実務経験,,,2026-06-18
c-6701,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai102/,"学科8,800円(非課税)",学科のみ・各科目40%以上かつ合計60%以上で合格,一級ボイラー技士免許取得者等の受験資格あり,全国の安全衛生技術センターで定期実施,29.5%(令和6年度・学科),2026-06-18
c-6704,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai151/,"学科8,800円(非課税)",学科のみ,受験資格なし(誰でも受験可),全国の安全衛生技術センターで定期実施,,2026-06-18
c-5501,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai132/,"学科8,800円＋実技28,000円(非課税)",学科＋実技(学科合計60%以上/実技は曲げ試験全合格),普通ボイラー溶接士免許＋ボイラー等の溶接業務1年以上,全国の安全衛生技術センターで定期実施,,2026-06-18
c-5502,公益財団法人 安全衛生技術試験協会,https://www.exam.or.jp/introduction/h_shokai142/,"学科8,800円＋実技24,000円(非課税)",学科＋実技(学科は各科目40%以上かつ合計60%以上/実技は曲げ試験全合格),溶接作業に1年以上従事した経験,全国の安全衛生技術センターで定期実施,,2026-06-18
c-6801,一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/charge/,"14,600円",3科目(基礎・技術及び理論・法規)・定期試験・科目免除あり。現行名称:第一級アナログ通信,受験資格なし(誰でも受験可),定期試験 年2回,,2026-06-18
c-6803,一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/charge/,"9,800円",3科目(基礎・技術及び理論・法規)・CBT・科目免除あり。現行名称:第二級アナログ通信,受験資格なし(誰でも受験可),CBT通年(年末年始除く),,2026-06-18
c-6804,一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/charge/,"14,600円",3科目(基礎・技術及び理論・法規)・定期試験・科目免除あり。現行名称:第一級デジタル通信,受験資格なし(誰でも受験可),定期試験 年2回,,2026-06-18
c-6806,一般財団法人 日本データ通信協会 電気通信国家試験センター,https://www.dekyo.or.jp/shiken/charge/,"9,800円",3科目(基礎・技術及び理論・法規)・CBT・科目免除あり。現行名称:第二級デジタル通信,受験資格なし(誰でも受験可),CBT通年(年末年始除く),,2026-06-18
c-5813,国土交通省(技能検定)/登録試験は日本自動車整備振興会連合会(JASPA)が実施,https://www.jaspa.or.jp/mechanic/,"学科7,200円/実技14,000円",学科試験(筆記)＋実技試験。登録試験合格で検定試験が2年間免除,三級整備士合格後の実務経験、または二級整備士養成課程修了で受験可,年2回(学科10月・3月頃/実技1月頃),,2026-06-18
c-5814,国土交通省(技能検定)/登録試験は日本自動車整備振興会連合会(JASPA)が実施,https://www.jaspa.or.jp/mechanic/,"学科7,200円/実技14,000円",学科試験(筆記)＋実技試験。登録試験合格で検定試験が2年間免除,三級整備士合格後の実務経験、または二級整備士養成課程修了で受験可,年2回(学科10月・3月頃/実技1月頃),,2026-06-18
c-5820,国土交通省(技能検定)/登録試験は日本自動車整備振興会連合会(JASPA)が実施,https://www.jaspa.or.jp/mechanic/,"学科7,200円/実技14,000円",学科試験(筆記)＋実技試験。登録試験合格で検定試験が2年間免除,三級整備士合格後の実務経験、または二級整備士養成課程修了で受験可,年2回(学科10月・3月頃/実技1月頃),,2026-06-18
c-1225,高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html,"インターネット17,300円/書面17,800円",筆記3科目(法令・保安管理技術・学識),受験資格なし(誰でも受験可),年1回(11月),53.1%(令和6年度・全体),2026-06-18
c-1226,高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html,"インターネット17,300円/書面17,800円",筆記3科目(法令・保安管理技術・学識),受験資格なし(誰でも受験可),年1回(11月),42.4%(令和6年度・全体),2026-06-18
c-4105,高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/national_qualification/examination/examination_about.html,"インターネット6,700円/書面7,200円",筆記2科目(法令・保安管理技術),受験資格なし(誰でも受験可),年1回(11月),54.4%(令和6年度・全体),2026-06-18
c-5209,高圧ガス保安協会(KHK),https://www.khk.or.jp/qualification/examination_course/course_b/course_trs_safetychf.html,"15,800円(令和7年度オンライン講習・受検料込)",講習＋修了考査(検定),講習を受講すること,随時(オンライン講習),,2026-06-18
c-7102,公益社団法人 空気調和・衛生工学会,https://www.shasej.org/setsubishiweb/setubishi.html,"9,900円(税込・1部門)",学科(マークシート)＋設計製図,学歴に応じた実務経験(理科系大学卒は実務不要 等),年1回,空調29.9%/衛生28.7%(令和4年度),2026-06-18
c-7103,中央職業能力開発協会(JAVADA)/都道府県職業能力開発協会,https://www.javada.or.jp/jigyou/gino/giken.html,"学科3,100円/実技18,200円(標準額)",学科＋実技(学科65点・実技60点以上で合格),実務7年以上、または2級合格後2年以上 等,年1回,,2026-06-18
c-7104,中央職業能力開発協会(JAVADA)/都道府県職業能力開発協会,https://www.javada.or.jp/jigyou/gino/giken.html,"学科3,100円/実技18,200円(標準額)",学科＋実技(学科65点・実技60点以上で合格),実務2年以上 等,年1回,,2026-06-18
c-7105,公益社団法人 日本冷凍空調学会,https://www.jsrae.or.jp/site/certificate/shikaku.php,"10,000円(別途登録料7,000円)",学科筆記(理論＋技術・マークシート＋記述),実務4年以上、または工学・理学系卒で実務2年以上 等,年1回(2月),,2026-06-18
c-7106,公益社団法人 日本冷凍空調学会,https://www.jsrae.or.jp/site/certificate/shikaku.php,"10,000円(別途登録料5,000円)",学科筆記(理論＋技術・マークシート),受験は学歴・実務不問(認証には実務2年以上),年1回(2月),,2026-06-18
c-2515,一般社団法人 金融財政事情研究会(きんざい)/NPO法人 日本FP協会,https://www.kinzai.or.jp/ginou/fp/1kyu/index.html,"学科8,900円(金財)/実技28,000円(金財)・20,000円(FP協会)",学科(基礎＋応用)＋実技(口頭試問または筆記),2級合格＋実務1年、または実務5年以上 等,学科年複数回/実技年1回以上,,2026-06-18
c-1101,厚生労働省(食品衛生法。登録講習会は日本食品衛生協会等),https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000049348.html,,試験ではない任用資格(資格要件・登録講習会修了等で取得),医師・薬剤師等、または所定課程修了、または実務3年＋登録講習会修了 等,,,2026-06-18
c-1102,公益社団法人 日本冷凍空調学会,https://www.jsrae.or.jp/site/certificate/,"10,000円(別途登録料)",筆記(学識・技術)＋面接,食品の低温加工・管理等の実務3年以上、または関連課程卒＋実務1年以上 等,年1回(2月),,2026-06-18
c-5001,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"21,200円",無線工学/法規/英語/地理/電気通信術(モールス・送話)等7科目,受験資格なし(誰でも受験可),定期・年2回(9月期・3月期),,2026-06-18
c-5002,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"18,800円",無線工学/法規/英語/地理/電気通信術等7科目,受験資格なし(誰でも受験可),定期・年2回(9月期・3月期),,2026-06-18
c-5003,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"13,600円",無線工学/法規/英語/電気通信術(モールス),受験資格なし(誰でも受験可),定期・年2回(9月期・3月期),,2026-06-18
c-5004,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"9,300円",無線工学/法規/英語/電気通信術,受験資格なし(誰でも受験可),定期・年2回,,2026-06-18
c-5005,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"6,400円",無線工学/法規/電気通信術,受験資格なし(誰でも受験可),定期試験,,2026-06-18
c-5008,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"6,300円",無線工学/法規(多肢選択),受験資格なし(誰でも受験可),定期・年3回(2月・6月・10月),,2026-06-18
c-5009,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"5,600円",無線工学/法規(CBT・多肢選択),受験資格なし(誰でも受験可),CBT通年(全国テストセンター),,2026-06-18
c-5010,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,"5,600円",無線工学/法規(CBT・多肢選択),受験資格なし(誰でも受験可),CBT通年(全国テストセンター),,2026-06-18
c-5011,公益財団法人 日本無線協会,https://www.nichimu.or.jp/kshiken/,,法規/電気通信術(モールス),受験資格なし(誰でも受験可),定期試験,,2026-06-18
c-1238,一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/dentsu-1/,"第一次14,300円・第二次14,300円(各非課税)",第一次検定＋第二次検定,学歴・実務経験等(第一次は当該年度19歳以上),年1回(第一次9月・第二次12月),,2026-06-18
c-1239,一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/dentsu-2/,"第一次・第二次14,300円(第一次/第二次のみ各7,150円)",第一次検定＋第二次検定,第一次は当該年度17歳以上,年複数回(前期/後期),,2026-06-18
c-1407,一般財団法人 全国建設研修センター,https://www.jctc.jp/exam/zouen-2/,"第一次・第二次17,200円(第一次/第二次のみ各8,600円)",第一次検定＋第二次検定,第一次は当該年度17歳以上,年複数回(前期/後期),,2026-06-18
c-2204,中央労働災害防止協会(都道府県労働局長登録教習機関),https://www.jisha.or.jp/edu/course/list/8220_eiko.html,,講習修了型(所定科目受講＋修了試験),第一種衛生管理者免許試験合格者、大学・高専で工学/理学課程修了者 等,各センターで随時開催,,2026-06-18
c-5503,公益財団法人 安全衛生技術試験協会(免許交付は都道府県労働局長),https://www.exam.or.jp/introduction/h_shokai302/,"8,800円(非課税)",免許試験(学科・筆記のみ・各科目40%以上かつ合計60%以上で合格),免許試験は受験資格なし(ガス溶接技能講習修了＋実務3年以上は別経路で免許取得可),各安全衛生技術センターで実施,,2026-06-18
