slug,kind,without,with_role,allowance,note
c-3841,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,日商PC検定試験(文書作成)1級として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3842,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,日商PC検定試験(文書作成)2級として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3843,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,日商PC検定試験(文書作成)3級として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9007,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,Python3エンジニア認定基礎試験として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9008,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,Python3エンジニア認定実践試験として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9033,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,AWS認定 クラウドプラクティショナーとして専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1511,国家資格,この資格がないと、ITサービスマネージャとしての専門性を公的に示しにくい。,ITサービスマネージャとして国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1539,国家資格,この資格がないと、ITストラテジスト(ST)としての専門性を公的に示しにくい。,ITストラテジスト(ST)として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-9036,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,IoT検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1545,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,JavaTMプログラミング能力認定1級として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1546,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,JavaTMプログラミング能力認定2級として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1547,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,JavaTMプログラミング能力認定3級として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1520,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,Java認定資格として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9032,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,LPIC(Linux技術者認定)として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1541,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,Linux技術者認定資格として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1555,名称独占（技能検定）,ウェブデザイン技能士を名乗れない。,国家検定に合格したウェブデザイン技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-9034,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,ウェブ解析士として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1512,国家資格,この資格がないと、エンベデッドシステムスペシャリストとしての専門性を公的に示しにくい。,エンベデッドシステムスペシャリストとして国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1519,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,オラクルマスターとして専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1518,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,シスコ技術者認定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1503,国家資格,この資格がないと、システムアーキテクトとしての専門性を公的に示しにくい。,システムアーキテクトとして国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1501,国家資格,この資格がないと、システム監査技術者としての専門性を公的に示しにくい。,システム監査技術者として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1510,国家資格,この資格がないと、データベーススペシャリストとしての専門性を公的に示しにくい。,データベーススペシャリストとして国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-9035,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,ネットマーケティング検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1502,国家資格,この資格がないと、ネットワークスペシャリストとしての専門性を公的に示しにくい。,ネットワークスペシャリストとして国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1508,国家資格,この資格がないと、プロジェクトマネージャとしての専門性を公的に示しにくい。,プロジェクトマネージャとして国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1517,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,マイクロソフト認定ソリューションエキスパート(MCSE)として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-1516,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,マイクロソフト認定プロフェッショナル(MCP)として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9001,国家資格,この資格がないと、情報セキュリティマネジメント試験としての専門性を公的に示しにくい。,情報セキュリティマネジメント試験として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-9050,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,マイナンバー実務検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9026,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,個人情報保護士認定試験として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9068,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,文書情報管理士として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9062,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,パーソナルカラリスト検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-3001,名称独占（技能検定）,1級フラワー装飾技能士を名乗れない。,国家検定に合格した1級フラワー装飾技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-3012,名称独占（技能検定）,1級園芸装飾技能士を名乗れない。,国家検定に合格した1級園芸装飾技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-3002,名称独占（技能検定）,2級フラワー装飾技能士を名乗れない。,国家検定に合格した2級フラワー装飾技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-3013,名称独占（技能検定）,2級園芸装飾技能士を名乗れない。,国家検定に合格した2級園芸装飾技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-3014,名称独占（技能検定）,3級園芸装飾技能士を名乗れない。,国家検定に合格した3級園芸装飾技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-3003,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,カラーコーディネーター(1~2級)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3004,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,色彩検定として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3205,国家資格,この資格がないと、土地区画整理士としての専門性を公的に示しにくい。,土地区画整理士として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-3204,国家資格,この資格がないと、土地改良換地士としての専門性を公的に示しにくい。,土地改良換地士として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4001,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジキャリ(人事・人材開発・労務管理)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4003,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジキャリ(営業・マーケティング)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4011,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジキャリ(経営情報システム)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4007,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジネス・キャリア検定(ロジスティクス)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4005,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジネス・キャリア検定(企業法務・総務)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4004,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジネス・キャリア検定(生産管理)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4012,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジネス・キャリア検定(経営戦略)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4002,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジネス・キャリア検定(経理・財務管理)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9025,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,ビジネス会計検定として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9049,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,建設業経理士として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3623,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,日商簿記1級として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3601,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定10段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3611,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定1級として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3609,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定2段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3612,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定2級として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3608,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定3段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3613,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定3級として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3607,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定4段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3606,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定5段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3605,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定6段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3604,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定7段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3603,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定8段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3602,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定9段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3610,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,珠算能力検定初段として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3627,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,簿記能力検定(全経1級)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3628,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,簿記能力検定(全経2級)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3629,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,簿記能力検定(全経3級)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-3626,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,簿記能力検定(全経上級)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9046,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,銀行業務検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9069,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,損害保険募集人一般試験として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-2515,名称独占（技能検定）,1級ファイナンシャル・プランニング技能士を名乗れない。,国家検定に合格した1級ファイナンシャル・プランニング技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-2517,名称独占（技能検定）,3級ファイナンシャル・プランニング技能士を名乗れない。,国家検定に合格した3級ファイナンシャル・プランニング技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-2512,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,アクチュアリーとして専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-2504,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,証券アナリスト(CMA)として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9047,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,DCプランナー(企業年金総合プランナー)として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9030,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,マーケティング検定として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9022,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,メンタルヘルス・マネジメント検定III種(セルフケアコース)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9021,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,メンタルヘルス・マネジメント検定II種(ラインケアコース)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9020,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,メンタルヘルス・マネジメント検定I種(マスターコース)として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-9067,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,相続診断士として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9048,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,給与計算実務能力検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-2207,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,臨床心理士として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-2204,国家資格,この資格がないと、衛生工学衛生管理者としての専門性を公的に示しにくい。,衛生工学衛生管理者として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1902,国家資格,この資格がないと、衛生検査技師としての専門性を公的に示しにくい。,衛生検査技師として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-9052,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,医療情報技師として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-9055,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,歯科助手として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-4111,名称独占（技能検定）,1級商品装飾展示技能士を名乗れない。,国家検定に合格した1級商品装飾展示技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-4101,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,1級販売士として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4112,名称独占（技能検定）,2級商品装飾展示技能士を名乗れない。,国家検定に合格した2級商品装飾展示技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-4102,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,2級販売士として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4113,名称独占（技能検定）,3級商品装飾展示技能士を名乗れない。,国家検定に合格した3級商品装飾展示技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-4103,公的資格,この資格がないと、この分野の専門性を客観的に示しにくい。,3級販売士として公的に認められた知識・スキルを証明でき、関連分野で評価される。,,業務独占・必置ではない。
c-4117,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,DIYアドバイザーとして専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-4116,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,家電製品アドバイザーとして専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-4108,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,貿易実務検定として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-3728,名称独占（技能検定）,1級金融窓口サービス技能士を名乗れない。,国家検定に合格した1級金融窓口サービス技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-3729,名称独占（技能検定）,2級金融窓口サービス技能士を名乗れない。,国家検定に合格した2級金融窓口サービス技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-3730,名称独占（技能検定）,3級金融窓口サービス技能士を名乗れない。,国家検定に合格した3級金融窓口サービス技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-9054,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,調剤薬局事務として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-4203,必置,必置の国内旅行業務取扱管理者になれない。,国内旅行業務取扱管理者として法令に基づく取扱い・保安の管理・監督を担える（必置）。,,必置は各根拠法令に基づく。
c-4204,民間資格,この資格がないと、この分野の専門知識・スキルを客観的に示しにくい。,外務員登録資格(商品先物取引)として専門知識・スキルを示せ、関連分野の就職・実務で評価される。,,業務独占・必置ではない（民間資格）。
c-4202,必置,必置の総合旅行業務取扱管理者になれない。,総合旅行業務取扱管理者として法令に基づく取扱い・保安の管理・監督を担える（必置）。,,必置は各根拠法令に基づく。
c-1402,必置,必置の第2種ダム水路主任技術者になれない。,第2種ダム水路主任技術者として法令に基づく工事・維持・運用の保安監督を担える（必置）。,"月3,000〜20,000円程度",必置は各根拠法令に基づく。
c-7305,名称独占（技能検定）,1級ウェルポイント施工技能士を名乗れない。,国家検定に合格した1級ウェルポイント施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7302,名称独占（技能検定）,1級コンクリート圧送施工技能士を名乗れない。,国家検定に合格した1級コンクリート圧送施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7306,名称独占（技能検定）,2級ウェルポイント施工技能士を名乗れない。,国家検定に合格した2級ウェルポイント施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7303,名称独占（技能検定）,2級コンクリート圧送施工技能士を名乗れない。,国家検定に合格した2級コンクリート圧送施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-7307,名称独占（技能検定）,路面標示施工技能士を名乗れない。,国家検定に合格した路面標示施工技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6908,名称独占（技能検定）,1級さく井技能士を名乗れない。,国家検定に合格した1級さく井技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6909,名称独占（技能検定）,2級さく井技能士を名乗れない。,国家検定に合格した2級さく井技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-6901,業務独占,採石のための掘削作業主任者になれず、その作業の作業主任者を選任できない。,採石のための掘削作業主任者として作業の直接指揮・安全装置の点検など安全管理を担える。,,独占業務（作業主任者の選任）は労働安全衛生法に基づく。
c-1624,国家資格,この資格がないと、下水道第1種技術検定としての専門性を公的に示しにくい。,下水道第1種技術検定として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1625,国家資格,この資格がないと、下水道第2種技術検定としての専門性を公的に示しにくい。,下水道第2種技術検定として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1626,国家資格,この資格がないと、下水道第3種技術検定としての専門性を公的に示しにくい。,下水道第3種技術検定として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1612,国家資格,この資格がないと、下水道管理技術認定(処理施設)としての専門性を公的に示しにくい。,下水道管理技術認定(処理施設)として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1613,国家資格,この資格がないと、下水道管理技術認定(管路施設)としての専門性を公的に示しにくい。,下水道管理技術認定(管路施設)として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-1621,名称独占,技術士(応用理学部門)を名乗れない。,技術士(応用理学部門)として高度な専門技術者であることを公的に示せる。,,名称独占は技術士法に基づく。
c-1618,名称独占,技術士(経営工学部門)を名乗れない。,技術士(経営工学部門)として高度な専門技術者であることを公的に示せる。,,名称独占は技術士法に基づく。
c-1619,名称独占,技術士(衛生工学部門)を名乗れない。,技術士(衛生工学部門)として高度な専門技術者であることを公的に示せる。,,名称独占は技術士法に基づく。
c-4507,名称独占（技能検定）,1級ビル設備管理技能士を名乗れない。,国家検定に合格した1級ビル設備管理技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-4508,名称独占（技能検定）,2級ビル設備管理技能士を名乗れない。,国家検定に合格した2級ビル設備管理技能士として技能を公的に証明でき、現場で高く評価される。,,技能士の名称独占は職業能力開発促進法に基づく。
c-4516,国家資格,この資格がないと、交通誘導警備業務検定1級としての専門性を公的に示しにくい。,交通誘導警備業務検定1級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4517,国家資格,この資格がないと、交通誘導警備業務検定2級としての専門性を公的に示しにくい。,交通誘導警備業務検定2級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4510,国家資格,この資格がないと、施設警備業務検定1級としての専門性を公的に示しにくい。,施設警備業務検定1級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4511,国家資格,この資格がないと、施設警備業務検定2級としての専門性を公的に示しにくい。,施設警備業務検定2級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4518,国家資格,この資格がないと、核燃料物質等危険物運搬警備業務検定1級としての専門性を公的に示しにくい。,核燃料物質等危険物運搬警備業務検定1級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4519,国家資格,この資格がないと、核燃料物質等危険物運搬警備業務検定2級としての専門性を公的に示しにくい。,核燃料物質等危険物運搬警備業務検定2級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4512,国家資格,この資格がないと、空港保安警備業務検定1級としての専門性を公的に示しにくい。,空港保安警備業務検定1級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4513,国家資格,この資格がないと、空港保安警備業務検定2級としての専門性を公的に示しにくい。,空港保安警備業務検定2級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4503,国家資格,この資格がないと、第1種消防設備点検資格者としての専門性を公的に示しにくい。,第1種消防設備点検資格者として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4504,国家資格,この資格がないと、第2種消防設備点検資格者としての専門性を公的に示しにくい。,第2種消防設備点検資格者として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4505,国家資格,この資格がないと、警備員検定試験(1級)としての専門性を公的に示しにくい。,警備員検定試験(1級)として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4506,国家資格,この資格がないと、警備員検定試験(2級)としての専門性を公的に示しにくい。,警備員検定試験(2級)として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4520,国家資格,この資格がないと、貴重品運搬警備業務検定1級としての専門性を公的に示しにくい。,貴重品運搬警備業務検定1級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
c-4521,国家資格,この資格がないと、貴重品運搬警備業務検定2級としての専門性を公的に示しにくい。,貴重品運搬警備業務検定2級として国家資格の専門性を証明でき、就職・実務で評価される。,,個別の独占業務・必置の有無は各根拠法令・公式情報をご確認ください。
