slug,hellowork_code,name,name_raw,category,major_category,scope,is_bucket,is_duplicate,type,type_confidence,type_reason,authority,official_url,eligibility,exam_format,fee,pass_rate,frequency,difficulty,related_slugs,source_checked_at,status
c-3513,3513,ビジネス文書検定1級,ビジネス文書検定１級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3514,3514,ビジネス文書検定2級,ビジネス文書検定２級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3515,3515,ビジネス文書検定3級,ビジネス文書検定３級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3521,3521,ビジネス能力検定ジョブパス1級,ビジネス能力検定ジョブパス１級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3522,3522,ビジネス能力検定ジョブパス2級,ビジネス能力検定ジョブパス２級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3523,3523,ビジネス能力検定ジョブパス3級,ビジネス能力検定ジョブパス３級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3524,3524,日本語検定1級,日本語検定１級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3525,3525,日本語検定準1級,日本語検定準１級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3526,3526,日本語検定2級,日本語検定２級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3527,3527,日本語検定準2級,日本語検定準２級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3528,3528,日本語検定3級,日本語検定３級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3529,3529,日本語検定準3級,日本語検定準３級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3530,3530,日本語検定4級,日本語検定４級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3531,3531,日本語検定準4級,日本語検定準４級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3532,3532,日本語検定5級,日本語検定５級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3533,3533,日本語検定準5級,日本語検定準５級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3534,3534,日本語検定6級,日本語検定６級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3535,3535,日本語検定準6級,日本語検定準６級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3536,3536,日本語検定7級,日本語検定７級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3537,3537,日本語検定準7級,日本語検定準７級,筆記技能,語学・コミュニケーション,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3599,3599,その他の筆記技能関係資格,その他の筆記技能関係資格,筆記技能,語学・コミュニケーション,domestic,1,0,,,バケット(その他の…),,,,,,,,,,,seed
c-3601,3601,珠算能力検定10段,珠算能力検定１０段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3602,3602,珠算能力検定9段,珠算能力検定９段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3603,3603,珠算能力検定8段,珠算能力検定８段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3604,3604,珠算能力検定7段,珠算能力検定７段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3605,3605,珠算能力検定6段,珠算能力検定６段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3606,3606,珠算能力検定5段,珠算能力検定５段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3607,3607,珠算能力検定4段,珠算能力検定４段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3608,3608,珠算能力検定3段,珠算能力検定３段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3609,3609,珠算能力検定2段,珠算能力検定２段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3610,3610,珠算能力検定初段,珠算能力検定初段,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3611,3611,珠算能力検定1級,珠算能力検定１級,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3612,3612,珠算能力検定2級,珠算能力検定２級,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3613,3613,珠算能力検定3級,珠算能力検定３級,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3615,3615,所得税法能力検定試験1級,所得税法能力検定試験１級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3616,3616,所得税法能力検定試験2級,所得税法能力検定試験２級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3617,3617,所得税法能力検定試験3級,所得税法能力検定試験３級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3619,3619,法人税法能力検定試験1級,法人税法能力検定試験１級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3620,3620,法人税法能力検定試験2級,法人税法能力検定試験２級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3621,3621,法人税法能力検定試験3級,法人税法能力検定試験３級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3623,3623,日商簿記1級,日商簿記１級,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所法の検定(公的),日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/bookkeeping/class1,受験資格なし(誰でも受験可),統一試験(ペーパー)。商業簿記・会計学・工業簿記・原価計算、計180分。70%以上かつ各科目40%以上で合格,"7,850円(税込)＋事務手数料550円(税込)",,年2回(6月・11月),,,2026-06-18,published
c-3624,3624,日商簿記2級,日商簿記２級,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所法の検定(公的),日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/bookkeeping/class2,受験資格なし(誰でも受験可),統一試験(ペーパー)/ネット試験(CBT)・90分,"5,500円(税込)",,統一試験 年3回(6月・11月・2月)/ネット試験 随時,,,2026-06-18,published
c-3625,3625,日商簿記3級,日商簿記３級,会計事務,会計・金融・経営,domestic,0,0,公的,medium,商工会議所法の検定(公的),日本商工会議所・各地商工会議所,https://www.kentei.ne.jp/bookkeeping/class3,受験資格なし(誰でも受験可),統一試験(ペーパー)/ネット試験(CBT)・60分,"3,300円(税込)",,統一試験 年3回(6月・11月・2月)/ネット試験 随時,,,2026-06-18,published
c-3626,3626,簿記能力検定(全経上級),簿記能力検定（全経上級）,会計事務,会計・金融・経営,domestic,0,0,公的,medium,全国経理教育協会(文科省後援)検定(公的),,,,,,,,,,,seed
c-3627,3627,簿記能力検定(全経1級),簿記能力検定（全経１級）,会計事務,会計・金融・経営,domestic,0,0,公的,medium,全国経理教育協会(文科省後援)検定(公的),,,,,,,,,,,seed
c-3628,3628,簿記能力検定(全経2級),簿記能力検定（全経２級）,会計事務,会計・金融・経営,domestic,0,0,公的,medium,全国経理教育協会(文科省後援)検定(公的),,,,,,,,,,,seed
c-3629,3629,簿記能力検定(全経3級),簿記能力検定（全経３級）,会計事務,会計・金融・経営,domestic,0,0,公的,medium,全国経理教育協会(文科省後援)検定(公的),,,,,,,,,,,seed
c-3630,3630,簿記実務検定1級,簿記実務検定１級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3631,3631,簿記実務検定2級,簿記実務検定２級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3632,3632,簿記実務検定3級,簿記実務検定３級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3634,3634,消費税法能力検定試験1級,消費税法能力検定試験１級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3635,3635,消費税法能力検定試験2級,消費税法能力検定試験２級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3636,3636,消費税法能力検定試験3級,消費税法能力検定試験３級,会計事務,会計・金融・経営,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3699,3699,その他の会計事務関係資格,その他の会計事務関係資格,会計事務,会計・金融・経営,domestic,1,0,,,バケット(その他の…),,,,,,,,,,,seed
c-3701,3701,行政書士,行政書士,専門的事務,法律・法務・知財,domestic,0,0,国家,high,国家資格(法律に基づく),一般財団法人 行政書士試験研究センター,https://gyosei-shiken.or.jp/,受験資格なし(誰でも受験可),択一式・多肢選択式・記述式・3時間,"10,400円",14.54%(令和7年度),年1回(11月),,,2026-06-18,published
c-3705,3705,運行管理者(旅客),運行管理者（旅客）,専門的事務,運輸・運転・航空,domestic,0,0,国家,high,国家資格(法律に基づく),,,,,,,,,,,seed
c-3706,3706,運行管理者(貨物),運行管理者（貨物）,専門的事務,運輸・運転・航空,domestic,0,0,国家,high,国家資格(法律に基づく),,,,,,,,,,,seed
c-3707,3707,医療保険請求事務者(医科・歯科),医療保険請求事務者（医科・歯科）,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3708,3708,医療事務実務士1級,医療事務実務士１級,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3709,3709,医療事務実務士2級,医療事務実務士２級,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3710,3710,メディカルクラーク(医療事務技能審査),メディカルクラーク（医療事務技能審査）,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3711,3711,メディカルクラーク(医療事務技能審査),メディカルクラーク（医療事務技能審査）,専門的事務,商業・販売・事務,domestic,0,1,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3712,3712,診療報酬請求事務能力認定試験(医科・歯科),診療報酬請求事務能力認定試験（医科・歯科）,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3713,3713,医療事務検定試験,医療事務検定試験,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3714,3714,診療情報管理士,診療情報管理士,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3715,3715,医療事務資格,医療事務資格,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3716,3716,医事管理士,医事管理士,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3717,3717,医療秘書士,医療秘書士,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3718,3718,医療管理秘書士,医療管理秘書士,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3719,3719,ドクターズクラーク(医師事務作業補助技能認定),ドクターズクラーク（医師事務作業補助技能認定）,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3720,3720,医事コンピュータ技能検定準1級,医事コンピュータ技能検定準１級,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3721,3721,医事コンピュータ技能検定2級,医事コンピュータ技能検定２級,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3722,3722,医事コンピュータ技能検定3級,医事コンピュータ技能検定３級,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3723,3723,ケアクラーク技能認定,ケアクラーク技能認定,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3724,3724,介護事務管理士,介護事務管理士,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3725,3725,介護保険事務管理士,介護保険事務管理士,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3726,3726,調剤事務管理士,調剤事務管理士,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3727,3727,医療事務管理士(医科・歯科),医療事務管理士（医科・歯科）,専門的事務,商業・販売・事務,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3728,3728,1級金融窓口サービス技能士,１級金融窓口サービス技能士,専門的事務,商業・販売・事務,domestic,0,0,国家,high,技能検定(国家資格・職業能力開発促進法),一般社団法人 金融財政事情研究会(きんざい),https://www.kinzai.or.jp/ginou/teller/1kyu/index.html,4年以上の実務経験、または2級合格者 等,学科(五肢択一・CBT)＋実技,,学科13.23%/実技34.21%(2024年9月),通年(CBT),,,2026-06-18,published
c-3729,3729,2級金融窓口サービス技能士,２級金融窓口サービス技能士,専門的事務,商業・販売・事務,domestic,0,0,国家,high,技能検定(国家資格・職業能力開発促進法),一般社団法人 金融財政事情研究会(きんざい),https://www.kinzai.or.jp/ginou/teller/index.html,2年以上の実務経験、または3級合格者 等,学科(四肢択一・CBT)＋実技,"学科8,600円＋実技9,000円(CBT)",,通年(CBT),,,2026-06-18,published
c-3730,3730,3級金融窓口サービス技能士,３級金融窓口サービス技能士,専門的事務,商業・販売・事務,domestic,0,0,国家,high,技能検定(国家資格・職業能力開発促進法),一般社団法人 金融財政事情研究会(きんざい),https://www.kinzai.or.jp/ginou/teller/3kyu/index.html,金融機関関連業務に従事/従事しようとする者(実務経験不要),学科＋実技(CBT),"学科5,000円＋実技5,500円(CBT)",学科46.64%(2024年度),通年(CBT),,,2026-06-18,published
c-3799,3799,その他の専門的事務関係資格,その他の専門的事務関係資格,専門的事務,商業・販売・事務,domestic,1,0,,,バケット(その他の…),,,,,,,,,,,seed
c-3801,3801,日本語ワープロ検定1級,日本語ワープロ検定１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3802,3802,日本語ワープロ検定2級,日本語ワープロ検定２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3803,3803,日本語ワープロ検定3級,日本語ワープロ検定３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3804,3804,日本語ワープロ検定4級,日本語ワープロ検定４級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3812,3812,ICTプロフィシエンシー検定(P検)1級,ＩＣＴプロフィシエンシー検定（Ｐ検）１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3813,3813,ICTプロフィシエンシー検定(P検)2級,ＩＣＴプロフィシエンシー検定（Ｐ検）２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3814,3814,ICTプロフィシエンシー検定(P検)3級,ＩＣＴプロフィシエンシー検定（Ｐ検）３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3815,3815,MOS Excelエキスパート,ＭＯＳ　Ｅｘｃｅｌエキスパート,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3816,3816,MOS Excelスペシャリスト,ＭＯＳ　Ｅｘｃｅｌスペシャリスト,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3817,3817,MOS Wordエキスパート,ＭＯＳ　Ｗｏｒｄエキスパート,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3818,3818,MOS Wordスペシャリスト,ＭＯＳ　Ｗｏｒｄスペシャリスト,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3819,3819,マイクロソフト認定トレーナー(MCT),マイクロソフト認定トレーナー（ＭＣＴ）,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3820,3820,電卓技能検定試験十段,電卓技能検定試験十段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3821,3821,電卓技能検定試験九段,電卓技能検定試験九段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3822,3822,電卓技能検定試験八段,電卓技能検定試験八段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3823,3823,電卓技能検定試験七段,電卓技能検定試験七段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3824,3824,電卓技能検定試験六段,電卓技能検定試験六段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3825,3825,電卓技能検定試験五段,電卓技能検定試験五段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3826,3826,電卓技能検定試験四段,電卓技能検定試験四段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3827,3827,電卓技能検定試験三段,電卓技能検定試験三段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3828,3828,電卓技能検定試験二段,電卓技能検定試験二段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3829,3829,電卓技能検定試験初段,電卓技能検定試験初段,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3830,3830,電卓技能検定試験1級,電卓技能検定試験１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3831,3831,電卓技能検定試験2級,電卓技能検定試験２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3832,3832,電卓技能検定試験3級,電卓技能検定試験３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3836,3836,パソコン[ワープロ・表計算]可,パソコン［ワープロ・表計算］可,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3837,3837,パソコン[ワープロ]可,パソコン［ワープロ］可,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3838,3838,MOS PowerPoint,ＭＯＳ　ＰｏｗｅｒＰｏｉｎｔ,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3839,3839,MOS Access,ＭＯＳ　Ａｃｃｅｓｓ,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3840,3840,MOS Outlook,ＭＯＳ　Ｏｕｔｌｏｏｋ,OA機器操作,IT・情報処理,domestic,0,0,民間,medium,民間ベンダー資格(Microsoft),,,,,,,,,,,seed
c-3841,3841,日商PC検定試験(文書作成)1級,日商ＰＣ検定試験（文書作成）１級,OA機器操作,IT・情報処理,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3842,3842,日商PC検定試験(文書作成)2級,日商ＰＣ検定試験（文書作成）２級,OA機器操作,IT・情報処理,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3843,3843,日商PC検定試験(文書作成)3級,日商ＰＣ検定試験（文書作成）３級,OA機器操作,IT・情報処理,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3844,3844,日商PC検定試験(データ活用)1級,日商ＰＣ検定試験（データ活用）１級,OA機器操作,IT・情報処理,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3845,3845,日商PC検定試験(データ活用)2級,日商ＰＣ検定試験（データ活用）２級,OA機器操作,IT・情報処理,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3846,3846,日商PC検定試験(データ活用)3級,日商ＰＣ検定試験（データ活用）３級,OA機器操作,IT・情報処理,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
c-3847,3847,PowerPointプレゼン技能認定試験,ＰｏｗｅｒＰｏｉｎｔプレゼン技能認定試験,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3848,3848,Accessビジネスデータベース技能認定試験,Ａｃｃｅｓｓビジネスデータベース技能認定試験,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3849,3849,Excel表計算処理技能認定試験1級,Ｅｘｃｅｌ表計算処理技能認定試験１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3850,3850,Excel表計算処理技能認定試験2級,Ｅｘｃｅｌ表計算処理技能認定試験２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3851,3851,Excel表計算処理技能認定試験3級,Ｅｘｃｅｌ表計算処理技能認定試験３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3852,3852,Word文書処理技能認定試験1級,Ｗｏｒｄ文書処理技能認定試験１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3853,3853,Word文書処理技能認定試験2級,Ｗｏｒｄ文書処理技能認定試験２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3854,3854,Word文書処理技能認定試験3級,Ｗｏｒｄ文書処理技能認定試験３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3855,3855,情報処理技能検定試験(表計算)初段~1級,情報処理技能検定試験（表計算）初段～１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3856,3856,情報処理技能検定試験(表計算)準1~2級,情報処理技能検定試験（表計算）準１～２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3857,3857,情報処理技能検定試験(表計算)準2~3級,情報処理技能検定試験（表計算）準２～３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3858,3858,情報処理技能検定試験(表計算)4級,情報処理技能検定試験（表計算）４級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3859,3859,情報処理技能検定試験(データベース)1級,情報処理技能検定試験（データベース）１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3860,3860,情報処理技能検定試験(データベース)2級,情報処理技能検定試験（データベース）２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3861,3861,情報処理技能検定試験(データベース)3級,情報処理技能検定試験（データベース）３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3862,3862,情報処理技能検定試験(データベース)4級,情報処理技能検定試験（データベース）４級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3863,3863,ディジタル技術検定1級,ディジタル技術検定１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3864,3864,ディジタル技術検定2級,ディジタル技術検定２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3865,3865,ディジタル技術検定3級,ディジタル技術検定３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3866,3866,ディジタル技術検定4級,ディジタル技術検定４級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3873,3873,情報処理検定1級,情報処理検定１級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3874,3874,情報処理検定2級,情報処理検定２級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3875,3875,情報処理検定3級,情報処理検定３級,OA機器操作,IT・情報処理,domestic,0,0,要確認,low,未判定(一次情報での確認待ち),,,,,,,,,,,seed
c-3879,3879,日商PC検定試験(プレゼン資料作成)1級,日商ＰＣ検定試験（プレゼン資料作成）１級,OA機器操作,IT・情報処理,domestic,0,0,公的,medium,商工会議所の検定(公的),,,,,,,,,,,seed
